Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
1,2018-10-28,WS,5,BOS,LAD,W 5-1,34,33,5,8,0,0,4,5,1,0,6,0,0,0,0,2,0,0,0.137,0.741,.542,2,12,"54,367",180
2,2018-10-28,WS,5,LAD,BOS,L 1-5,31,29,1,3,0,1,1,1,2,0,11,0,0,0,0,1,0,0,-0.364,-3.258,.865,3,15,"54,367",180
3,2018-10-27,WS,4,BOS,LAD,W 9-6,42,35,9,8,2,0,2,9,6,2,8,1,0,0,0,0,0,0,0.451,4.742,1.060,6,17,"54,400",237
4,2018-10-27,WS,4,LAD,BOS,L 6-9,41,36,6,9,1,0,2,5,4,1,10,1,0,0,0,0,0,0,-0.050,1.742,1.150,8,19,"54,400",237
5,2018-10-26,WS,3,BOS,LAD,L 2-3,65,57,2,7,1,0,1,1,7,1,19,0,1,0,0,1,1,1,-1.179,-6.515,1.758,9,23,"53,114",440
6,2018-10-26,WS,3,LAD,BOS,W 3-2,66,61,3,11,2,0,2,2,5,0,15,0,0,0,0,0,0,1,-0.677,-5.044,1.698,12,23,"53,114",440
7,2018-10-24,WS,2,BOS,LAD,W 4-2,33,31,4,8,2,0,0,4,2,0,8,0,0,0,0,0,0,0,0.178,-0.252,.968,5,10,"38,644",192
8,2018-10-24,WS,2,LAD,BOS,L 2-4,33,29,2,3,0,0,0,2,3,0,8,0,0,1,0,0,0,0,-0.325,-2.781,1.084,4,13,"38,644",192
9,2018-10-23,WS,1,BOS,LAD,W 8-4,38,33,8,11,2,0,1,8,5,2,12,0,0,0,0,1,1,1,0.463,3.749,1.026,6,11,"38,454",232
10,2018-10-23,WS,1,LAD,BOS,L 4-8,38,34,4,8,0,0,1,4,3,0,12,0,0,1,0,0,0,0,-0.035,-0.783,1.281,7,13,"38,454",232
11,2018-10-20,NLCS,7,LAD,MIL,W 5-1,38,33,5,10,2,0,2,5,4,1,12,0,1,0,0,2,1,1,0.190,0.560,.810,6,15,"44,097",195
12,2018-10-20,NLCS,7,MIL,LAD,L 1-5,33,33,1,7,2,0,1,1,0,0,14,0,0,0,0,1,0,0,-0.310,-3.439,.830,5,17,"44,097",195
13,2018-10-19,NLCS,6,LAD,MIL,L 2-7,35,32,2,5,1,0,1,2,2,0,9,1,0,0,0,0,0,0,-0.162,-2.439,.728,6,19,"43,619",214
14,2018-10-19,NLCS,6,MIL,LAD,W 7-2,42,35,7,11,5,0,0,6,6,3,13,1,0,0,0,0,0,0,0.339,3.054,.509,11,16,"43,619",214
15,2018-10-18,ALCS,5,BOS,HOU,W 4-1,38,36,4,8,2,0,2,4,2,0,7,0,0,0,1,0,0,0,0.078,-0.419,.671,7,11,"43,210",212
16,2018-10-18,ALCS,5,HOU,BOS,L 1-4,34,32,1,5,1,0,1,1,2,0,12,0,0,0,0,0,0,0,-0.422,-3.418,.774,6,12,"43,210",212
17,2018-10-17,ALCS,4,BOS,HOU,W 8-6,46,37,8,11,4,0,1,8,7,0,8,2,0,0,0,0,0,1,0.596,3.581,1.035,11,12,"43,277",273
18,2018-10-17,ALCS,4,HOU,BOS,L 6-8,46,39,6,13,4,0,2,6,5,0,6,2,0,0,0,0,1,0,0.097,1.581,1.630,13,11,"43,277",273
19,2018-10-17,NLCS,5,LAD,MIL,W 5-2,36,29,5,9,2,0,0,5,4,1,12,2,1,0,0,2,3,0,0.201,1.216,1.078,7,17,"54,502",215
20,2018-10-17,NLCS,5,MIL,LAD,L 2-5,33,31,2,5,3,0,0,2,2,0,11,0,0,0,0,0,0,1,-0.300,-2.257,.829,4,17,"54,502",215
21,2018-10-16,ALCS,3,BOS,HOU,W 8-2,40,35,8,9,1,0,2,8,3,0,3,2,0,0,0,1,0,0,0.255,3.582,.929,5,13,"43,102",232
22,2018-10-16,ALCS,3,HOU,BOS,L 2-8,37,34,2,7,1,0,0,2,3,0,8,0,0,0,0,0,0,0,-0.246,-2.419,1.104,8,11,"43,102",232
23,2018-10-16,NLCS,4,LAD,MIL,W 2-1,51,44,2,7,0,0,0,2,5,0,17,2,0,0,0,0,1,1,-0.555,-3.930,1.661,11,22,"53,764",315
24,2018-10-16,NLCS,4,MIL,LAD,L 1-2,50,46,1,8,2,0,0,1,4,0,15,0,0,0,0,1,1,0,-1.055,-5.149,1.746,10,20,"53,764",315
25,2018-10-15,NLCS,3,LAD,MIL,L 0-4,35,32,0,5,3,0,0,0,3,1,14,0,0,0,1,0,0,0,-0.443,-4.259,1.242,8,15,"52,793",205
Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
